iter	Passed	Remaining
1282	16109	46671
1283	16121	46656
1284	16136	46652
1285	16152	46647
1286	16168	46645
1287	16180	46631
1288	16191	46614
1289	16202	46597
1290	16214	46583
1291	16227	46573
1292	16245	46575
1293	16261	46573
1294	16276	46566
1295	16287	46551
1296	16299	46536
1297	16310	46518
1298	16325	46513
1299	16345	46521
1300	16360	46517
1301	16372	46501
1302	16384	46487
1303	16395	46470
1304	16406	46454
1305	16418	46439
1306	16430	46424
1307	16441	46408
1308	16452	46392
1309	16465	46379
1310	16476	46362
1311	16489	46351
1312	16504	46344
1313	16518	46336
1314	16529	46320
1315	16541	46305
1316	16553	46292
1317	16564	46276
1318	16578	46265
1319	16589	46250
1320	16602	46237
1321	16615	46225
1322	16626	46208
1323	16638	46194
1324	16650	46182
1325	16664	46171
1326	16676	46160
1327	16689	46146
1328	16701	46133
1329	16714	46121
1330	16725	46106
1331	16738	46093
1332	16750	46079
1333	16763	46068
1334	16775	46054
1335	16789	46045
1336	16801	46031
1337	16813	46017
1338	16826	46004
1339	16838	45990
1340	16850	45977
1341	16862	45962
1342	16873	45947
1343	16887	45938
1344	16899	45923
1345	16910	45907
1346	16923	45895
1347	16934	45879
1348	16947	45866
1349	16959	45852
1350	16971	45839
1351	16983	45825
1352	16995	45811
1353	17007	45795
1354	17019	45782
1355	17030	45765
1356	17043	45753
1357	17055	45739
1358	17067	45727
1359	17079	45713
1360	17092	45700
1361	17104	45687
1362	17116	45674
1363	17130	45663
1364	17144	45654
1365	17158	45647
1366	17170	45632
1367	17181	45617
1368	17193	45601
1369	17205	45587
1370	17218	45578
1371	17231	45566
1372	17245	45556
1373	17258	45544
1374	17270	45531
1375	17283	45518
1376	17295	45505
1377	17307	45492
1378	17320	45479
1379	17332	45466
1380	17344	45452
1381	17357	45440
1382	17370	45430
1383	17388	45430
1384	17401	45419
1385	17413	45404
1386	17425	45390
1387	17437	45376
1388	17448	45361
1389	17460	45348
1390	17472	45332
1391	17484	45319
1392	17498	45308
1393	17509	45293
1394	17521	45280
1395	17533	45264
1396	17544	45249
1397	17556	45235
1398	17568	45219
1399	17579	45205
1400	17592	45192
1401	17604	45178
1402	17620	45175
1403	17632	45160
1404	17644	45146
1405	17656	45132
1406	17667	45116
1407	17679	45101
1408	17691	45088
1409	17703	45073
1410	17715	45060
1411	17732	45060
1412	17745	45047
1413	17757	45033
1414	17769	45019
1415	17780	45004
1416	17792	44990
1417	17804	44976
1418	17816	44961
1419	17828	44947
1420	17840	44934
1421	17852	44918
1422	17864	44905
1423	17875	44890
1424	17888	44877
1425	17900	44864
1426	17913	44851
1427	17924	44837
1428	17937	44823
1429	17948	44808
1430	17960	44793
1431	17975	44787
1432	17988	44775
1433	18000	44762
1434	18012	44749
1435	18024	44735
1436	18038	44725
1437	18050	44710
1438	18061	44696
1439	18074	44683
1440	18085	44668
1441	18117	44704
1442	18133	44700
1443	18152	44702
1444	18164	44689
1445	18176	44674
1446	18189	44662
1447	18200	44646
1448	18212	44632
1449	18224	44618
1450	18236	44603
1451	18247	44588
1452	18258	44572
1453	18271	44559
1454	18283	44547
1455	18296	44534
1456	18309	44522
1457	18321	44509
1458	18336	44502
1459	18350	44494
1460	18362	44480
1461	18375	44468
1462	18387	44454
1463	18399	44440
1464	18411	44427
1465	18424	44413
1466	18438	44405
1467	18450	44391
1468	18463	44380
1469	18475	44366
1470	18488	44355
1471	18499	44339
1472	18512	44327
1473	18524	44311
1474	18536	44298
1475	18547	44283
1476	18560	44270
1477	18573	44258
1478	18586	44247
1479	18598	44233
1480	18609	44218
1481	18621	44204
1482	18633	44191
1483	18645	44177
1484	18656	44161
1485	18669	44147
1486	18680	44132
1487	18693	44119
1488	18705	44107
1489	18717	44093
1490	18730	44080
1491	18742	44067
1492	18754	44053
1493	18766	44038
1494	18778	44027
1495	18791	44013
1496	18803	44001
1497	18816	43988
1498	18828	43975
1499	18840	43962
1500	18852	43948
1501	18865	43936
1502	18878	43924
1503	18891	43912
1504	18902	43897
1505	18915	43884
1506	18927	43870
1507	18939	43856
1508	18950	43841
1509	18962	43826
1510	18978	43822
1511	18989	43807
1512	19002	43794
1513	19013	43779
1514	19026	43766
1515	19038	43752
1516	19050	43738
1517	19062	43724
1518	19074	43711
1519	19087	43699
1520	19099	43686
1521	19112	43675
1522	19124	43660
1523	19135	43644
1524	19146	43629
1525	19159	43616
1526	19171	43603
1527	19183	43589
1528	19197	43580
1529	19209	43566
1530	19221	43553
1531	19233	43538
1532	19245	43526
1533	19258	43512
1534	19270	43499
1535	19282	43485
1536	19293	43470
1537	19303	43451
1538	19314	43436
1539	19326	43422
1540	19339	43409
1541	19351	43395
1542	19363	43383
1543	19375	43369
1544	19387	43355
1545	19399	43342
1546	19411	43328
1547	19423	43314
1548	19435	43299
1549	19446	43284
1550	19459	43271
1551	19472	43260
1552	19485	43248
1553	19498	43237
1554	19510	43224
1555	19522	43211
1556	19536	43200
1557	19550	43190
1558	19562	43177
1559	19574	43164
1560	19588	43154
1561	19601	43143
1562	19613	43129
1563	19625	43116
1564	19638	43103
1565	19651	43092
1566	19664	43081
1567	19676	43068
1568	19688	43054
1569	19700	43040
1570	19713	43028
1571	19726	43015
1572	19737	43001
1573	19751	42990
1574	19765	42981
1575	19780	42974
1576	19794	42964
1577	19806	42951
1578	19819	42939
1579	19832	42929
1580	19844	42915
1581	19857	42903
1582	19871	42893
1583	19884	42881
1584	19896	42868
1585	19908	42855
1586	19922	42845
1587	19934	42831
1588	19947	42819
1589	19959	42805
1590	19970	42790
1591	19982	42776
1592	19993	42761
1593	20005	42746
1594	20016	42731
1595	20029	42718
1596	20040	42703
1597	20052	42689
1598	20064	42676
1599	20076	42663
1600	20088	42648
1601	20099	42634
1602	20114	42625
1603	20131	42621
1604	20138	42598
1605	20152	42588
1606	20167	42581
1607	20183	42576
1608	20200	42572
1609	20219	42573
1610	20233	42564
1611	20251	42562
1612	20268	42559
1613	20283	42552
1614	20297	42543
1615	20312	42535
1616	20330	42534
1617	20347	42531
1618	20364	42527
1619	20379	42520
1620	20396	42516
1621	20410	42508
1622	20425	42499
1623	20441	42494
1624	20458	42490
1625	20473	42483
1626	20487	42473
1627	20501	42464
1628	20518	42460
1629	20535	42456
1630	20552	42453
1631	20574	42459
1632	20590	42454
1633	20605	42447
1634	20620	42439
1635	20635	42431
1636	20651	42425
1637	20662	42410
1638	20675	42397
1639	20687	42383
1640	20700	42372
1641	20713	42360
1642	20727	42350
1643	20739	42336
1644	20751	42323
1645	20765	42312
1646	20778	42300
1647	20792	42291
1648	20804	42277
1649	20818	42268
1650	20831	42255
1651	20843	42242
1652	20854	42227
1653	20867	42213
1654	20879	42201
1655	20892	42189
1656	20905	42177
1657	20917	42162
1658	20929	42149
1659	20942	42136
1660	20954	42123
1661	20966	42109
1662	20977	42093
1663	20989	42079
1664	21000	42064
1665	21012	42050
1666	21024	42036
1667	21036	42022
1668	21048	42008
1669	21060	41994
1670	21073	41982
